gens,average_placement,hands_won,mean_money,fitness
gen0,5.356000,686,688.037320,4.250000
gen1,5.447000,626,693.713685,7.350000
gen2,10.396000,1943,4809.170104,7.800000
gen3,5.324000,666,701.126310,3.800000
gen4,11.978000,2101,5191.170615,12.050000
gen5,5.323000,678,668.147191,4.400000
gen6,9.856000,2973,4662.202060,5.250000
gen7,5.391000,667,747.472640,7.200000
gen8,5.436000,691,772.048253,6.500000
gen9,11.921000,1719,4895.661672,11.200000
gen10,5.333000,683,753.000590,4.100000
gen11,8.499000,1603,3859.539644,5.250000
gen12,5.283000,648,697.094939,3.400000
gen13,11.773000,1937,4551.509440,12.050000
gen14,5.293000,723,696.595890,3.400000
gen15,11.641000,3283,3531.414844,11.950000
gen16,11.724000,3440,3390.041097,12.950000
gen17,11.652000,3330,3455.411961,11.250000
gen18,11.474000,4404,3340.882213,11.250000
gen19,11.275000,4427,3421.668436,10.250000
gen20,11.268000,4650,3309.757892,10.400000
gen21,11.326000,4503,3362.728537,12.100000
gen22,11.611000,4119,3384.411066,12.650000
gen23,11.426000,4340,3400.685694,11.400000
gen24,11.435000,4554,3389.346381,11.950000
gen25,11.381000,4183,3469.811274,10.950000
gen26,11.441000,4016,3481.752285,10.400000
gen27,11.520000,4472,3409.209495,13.100000
gen28,11.057000,5222,3273.227916,9.550000
gen29,11.339000,4488,3321.074414,10.700000
gen30,11.047000,5168,3296.550857,9.850000
gen31,11.354000,4695,3406.655365,11.100000
gen32,11.260000,4777,3386.764289,10.400000
gen33,11.376000,4547,3506.508419,10.100000
gen34,11.200000,4918,3416.727272,9.400000
gen35,11.506000,4677,3298.527968,13.250000
gen36,11.532000,4301,3385.033100,12.100000
gen37,11.519000,4356,3326.090842,12.400000
gen38,11.224000,5009,3401.956554,10.400000
gen39,11.577000,4420,3397.195039,12.650000
gen40,11.233000,5149,3309.155467,11.400000
gen41,11.199000,4354,3347.085694,10.400000
gen42,11.351000,4566,3273.549554,11.400000
gen43,11.581000,3969,3601.234475,11.800000
gen44,11.245000,4509,3456.125490,9.250000
gen45,11.514000,4465,3444.151501,12.800000
gen46,11.282000,4701,3410.666151,10.100000
gen47,11.350000,4359,3401.733374,10.400000
gen48,11.414000,4518,3268.027722,12.400000
gen49,11.310000,4651,3361.097112,10.100000
gen50,11.449000,4476,3437.630963,10.950000
gen51,11.178000,4989,3398.686181,9.400000
gen52,11.191000,4648,3408.677275,10.100000
gen53,11.191000,4960,3313.521309,9.400000
gen54,11.316000,4587,3379.743995,11.100000
gen55,11.497000,4332,3176.867673,11.550000
gen56,11.143000,4901,3425.042576,9.400000
gen57,11.079000,5147,3271.460447,10.550000
gen58,11.426000,4162,3394.249351,13.100000
gen59,11.052000,5084,3472.779307,9.250000
gen60,11.127000,4999,3572.750588,9.100000
gen61,11.581000,4736,3549.413719,11.650000
gen62,11.425000,4256,3283.909972,11.400000
gen63,11.134000,4677,3739.840381,8.950000
gen64,11.271000,4750,3675.645493,9.250000
