gens,average_placement,hands_won,mean_money,fitness
gen0,3.258000,1947,534.551059,3.900000
gen1,5.912000,3808,1495.025619,5.000000
gen2,3.210000,1927,524.356437,2.800000
gen3,6.120000,4789,1165.618118,7.100000
gen4,3.223000,1904,566.569646,3.000000
gen5,3.373000,2166,863.254608,3.600000
gen6,3.404000,2547,1148.083737,3.600000
gen7,5.994000,5328,890.998051,5.500000
gen8,6.033000,4887,893.662137,7.400000
gen9,5.992000,5530,916.754574,5.500000
gen10,5.961000,5342,948.157260,4.700000
gen11,6.003000,5035,969.595675,4.800000
gen12,6.035000,4961,932.718110,5.600000
gen13,6.129000,4770,889.421926,7.400000
gen14,6.053000,5177,1119.147806,7.000000
gen15,5.889000,5814,1151.263987,4.500000
gen16,5.923000,5431,1132.674371,5.400000
gen17,6.190000,4818,915.642518,8.200000
gen18,6.120000,5037,893.698229,8.000000
gen19,6.021000,4137,2497.835194,5.400000
gen20,6.031000,3886,2562.143804,7.000000
gen21,6.026000,4621,1697.020263,5.400000
gen22,6.060000,5619,940.175743,6.200000
gen23,6.092000,4422,1714.085368,7.000000
gen24,6.013000,5352,1763.028748,6.000000
gen25,6.103000,4976,927.809073,7.400000
gen26,5.993000,4966,1713.691858,5.300000
gen27,6.004000,4304,2002.680430,6.200000
gen28,6.025000,4825,2407.674352,4.600000
gen29,6.039000,4347,1989.791028,6.200000
gen30,6.141000,4462,1663.685569,7.800000
gen31,5.873000,5128,2003.147818,4.500000
gen32,6.025000,4674,2016.156467,5.400000
gen33,5.883000,4750,2025.787744,4.600000
gen34,6.111000,5454,1588.912051,6.700000
gen35,5.949000,5702,2104.264467,5.100000
gen36,6.053000,5752,1303.508208,5.300000
gen37,5.966000,6017,1444.003653,4.200000
gen38,5.989000,5527,1239.682209,5.400000
gen39,6.010000,4869,2164.168908,5.200000
gen40,5.996000,4590,2411.411592,4.600000
gen41,6.038000,4660,2385.558002,6.200000
gen42,6.016000,6024,1535.219095,5.000000
gen43,6.063000,5157,1722.238278,6.100000
gen44,5.935000,4894,1800.584675,4.500000
gen45,5.983000,4920,2198.834562,5.300000
gen46,6.127000,4501,1949.617367,7.800000
gen47,5.907000,5088,2090.233368,4.500000
gen48,6.050000,4907,2074.576120,7.000000
gen49,5.988000,5043,1642.097084,6.000000
gen50,6.037000,5116,1333.406191,7.100000
gen51,6.017000,4931,1713.721710,6.200000
gen52,5.951000,5767,1286.728900,6.200000
gen53,5.987000,5394,1303.697713,5.400000
gen54,6.024000,5084,1381.372667,6.900000
gen55,6.160000,4802,1257.800135,7.900000
gen56,5.873000,5658,1314.329657,4.200000
gen57,5.817000,6167,913.417356,4.500000
gen58,6.001000,5417,837.154848,6.300000
gen59,5.911000,5396,1910.080739,4.300000
gen60,5.885000,5465,1377.076394,4.300000
gen61,6.051000,5392,848.592858,6.400000
gen62,5.997000,4646,1963.279721,5.400000
gen63,6.118000,5068,1360.885012,7.800000
gen64,5.988000,5646,1142.402557,5.300000
gen65,6.134000,4949,1171.236361,7.900000
gen66,5.848000,4395,1105.493409,4.700000
gen67,5.669000,4982,1240.848925,4.700000
gen68,5.978000,5382,1405.829119,4.400000
gen69,3.449000,3062,2060.426610,3.200000
gen70,3.494000,2999,1991.863235,3.200000
